Jurisdiction,TAZNUM,Type,Subarea,SubareaName
BELLEVUE,368,High School,9,East Bellevue
BELLEVUE,369,Regular,9,East Bellevue
BELLEVUE,370,Regular,9,East Bellevue
BELLEVUE,371,Middle School,9,East Bellevue
BELLEVUE,372,Regular,9,East Bellevue
BELLEVUE,373,Regular,9,East Bellevue
BELLEVUE,374,Elementary School,9,East Bellevue
BELLEVUE,375,Regular,9,East Bellevue
BELLEVUE,376,Regular,8,Richards Valley
BELLEVUE,377,Regular,8,Richards Valley
BELLEVUE,378,Regular,8,Richards Valley
BELLEVUE,379,Regular,8,Richards Valley
BELLEVUE,380,Regular,8,Richards Valley
BELLEVUE,381,Regular,8,Richards Valley
BELLEVUE,382,Regular,8,Richards Valley
BELLEVUE,383,Regular,8,Richards Valley
BELLEVUE,384,Regular,10,Eastgate
BELLEVUE,385,Regular,10,Eastgate
BELLEVUE,386,Regular,10,Eastgate
BELLEVUE,387,Regular,10,Eastgate
BELLEVUE,388,Regular,10,Eastgate
BELLEVUE,389,Regular,8,Richards Valley
BELLEVUE,390,Regular,8,Richards Valley
BELLEVUE,391,Regular,8,Richards Valley
BELLEVUE,392,Regular,8,Richards Valley
BELLEVUE,393,Regular,8,Richards Valley
BELLEVUE,394,Regular,8,Richards Valley
BELLEVUE,395,Park,8,Richards Valley
BELLEVUE,396,Park,8,Richards Valley
BELLEVUE,397,Regular,8,Richards Valley
BELLEVUE,398,Park,8,Richards Valley
BELLEVUE,399,Regular,8,Richards Valley
BELLEVUE,400,Regular,8,Richards Valley
BELLEVUE,401,Regular,8,Richards Valley
BELLEVUE,402,Regular,8,Richards Valley
BELLEVUE,403,Elementary School,8,Richards Valley
BELLEVUE,404,Regular,8,Richards Valley
BELLEVUE,405,Regular,8,Richards Valley
BELLEVUE,406,Regular,8,Richards Valley
BELLEVUE,407,Regular,8,Richards Valley
BELLEVUE,408,Regular,8,Richards Valley
BELLEVUE,409,Regular,8,Richards Valley
BELLEVUE,410,Middle School,8,Richards Valley
BELLEVUE,411,Park,8,Richards Valley
BELLEVUE,412,Regular,8,Richards Valley
BELLEVUE,413,Regular,8,Richards Valley
BELLEVUE,414,Regular,8,Richards Valley
BELLEVUE,415,Regular,8,Richards Valley
BELLEVUE,416,Regular,8,Richards Valley
BELLEVUE,417,Park,4,Wilburton
BELLEVUE,418,Regular,4,Wilburton
BELLEVUE,419,Regular,4,Wilburton
BELLEVUE,420,Regular,4,Wilburton
BELLEVUE,421,Regular,4,Wilburton
BELLEVUE,422,Regular,4,Wilburton
BELLEVUE,423,Regular,4,Wilburton
BELLEVUE,424,Regular,4,Wilburton
BELLEVUE,425,Regular,4,Wilburton
BELLEVUE,426,Regular,4,Wilburton
BELLEVUE,427,Regular,4,Wilburton
BELLEVUE,428,Regular,4,Wilburton
BELLEVUE,429,Regular,4,Wilburton
BELLEVUE,430,Regular,4,Wilburton
BELLEVUE,431,Regular,4,Wilburton
BELLEVUE,432,Regular,4,Wilburton
BELLEVUE,433,Regular,4,Wilburton
BELLEVUE,434,Regular,7,South Bellevue
BELLEVUE,435,Regular,7,South Bellevue
BELLEVUE,436,Regular,7,South Bellevue
BELLEVUE,437,Regular,7,South Bellevue
BELLEVUE,438,Regular,7,South Bellevue
BELLEVUE,439,Regular,7,South Bellevue
BELLEVUE,440,Regular,7,South Bellevue
BELLEVUE,441,Regular,7,South Bellevue
BELLEVUE,442,Regular,7,South Bellevue
BELLEVUE,443,Regular,7,South Bellevue
BELLEVUE,444,Regular,7,South Bellevue
BELLEVUE,445,Regular,7,South Bellevue
BELLEVUE,446,Regular,7,South Bellevue
BELLEVUE,447,Regular,7,South Bellevue
BELLEVUE,448,Regular,7,South Bellevue
BELLEVUE,449,High School,7,South Bellevue
BELLEVUE,450,Regular,7,South Bellevue
BELLEVUE,451,Regular,7,South Bellevue
BELLEVUE,452,Regular,7,South Bellevue
BELLEVUE,453,Regular,7,South Bellevue
BELLEVUE,454,Regular,7,South Bellevue
BELLEVUE,455,Regular,7,South Bellevue
BELLEVUE,456,Regular,7,South Bellevue
BELLEVUE,457,Regular,7,South Bellevue
BELLEVUE,458,Regular,7,South Bellevue
BELLEVUE,459,Regular,7,South Bellevue
BELLEVUE,460,Regular,7,South Bellevue
BELLEVUE,461,Regular,7,South Bellevue
BELLEVUE,462,Regular,7,South Bellevue
BELLEVUE,463,Regular,7,South Bellevue
BELLEVUE,464,Regular,7,South Bellevue
BELLEVUE,465,Regular,7,South Bellevue
BELLEVUE,466,Regular,7,South Bellevue
BELLEVUE,467,Regular,7,South Bellevue
BELLEVUE,468,Regular,7,South Bellevue
BELLEVUE,469,Regular,7,South Bellevue
BELLEVUE,470,Regular,7,South Bellevue
BELLEVUE,471,Regular,7,South Bellevue
BELLEVUE,472,Elementary School,7,South Bellevue
BELLEVUE,473,Regular,7,South Bellevue
BELLEVUE,474,Regular,7,South Bellevue
BELLEVUE,475,Regular,7,South Bellevue
BELLEVUE,476,Regular,7,South Bellevue
BELLEVUE,477,Regular,7,South Bellevue
BELLEVUE,478,Regular,7,South Bellevue
